,id,type,average_price,province
249,10156559,apartment group,537500.0,Brussel
10027,10116724,house,444000,VlaamsBrabant
10876,10164025,apartment,259000,Oost-Vlaanderen
10877,10160241,apartment,375000,Oost-Vlaanderen
10878,10164023,apartment,210000,Oost-Vlaanderen
10879,10163960,apartment,180000,Oost-Vlaanderen
10880,10093468,apartment,299000,Oost-Vlaanderen
10881,10163793,house group,331000.0,Oost-Vlaanderen
10882,10164465,apartment group,149000.0,Oost-Vlaanderen
10883,10077980,house group,355250.0,Oost-Vlaanderen
10884,10164463,apartment,330000,Oost-Vlaanderen
10885,10164117,house,349000,Oost-Vlaanderen
10886,10164027,apartment,349000,Oost-Vlaanderen
10887,10164026,apartment,430000,Oost-Vlaanderen
10888,10164672,apartment group,669000.0,Oost-Vlaanderen
10889,10164048,apartment group,475000.0,Oost-Vlaanderen
10890,10164029,house,475000,Oost-Vlaanderen
10891,10164082,house,599000,Oost-Vlaanderen
10892,10163967,house group,672500.0,Oost-Vlaanderen
10893,10161791,house,185000,Oost-Vlaanderen
10894,10164035,house,695000,Oost-Vlaanderen
10895,9881253,apartment group,230500.0,Oost-Vlaanderen
10896,10165424,apartment,849000,Oost-Vlaanderen
10897,10161760,apartment,195000,Oost-Vlaanderen
10898,10162686,apartment,229000,Oost-Vlaanderen
10899,10162099,apartment,229000,Oost-Vlaanderen
10900,9403497,apartment group,307400.0,Oost-Vlaanderen
10901,10162478,house,270000,Oost-Vlaanderen
10902,10163069,apartment group,386000.0,Oost-Vlaanderen
10903,10162792,apartment,245000,Oost-Vlaanderen
10904,10162950,apartment,260000,Oost-Vlaanderen
10905,10161787,apartment,235000,Oost-Vlaanderen
10907,10162086,house group,292000.0,Namen
10908,10163564,house,395000,Namen
10909,8967721,apartment,395000,Namen
10910,10162522,apartment group,620000.0,Namen
10911,10162512,apartment group,620000.0,Namen
10912,10099769,house,410000,Namen
10913,10161801,house group,381535.0,Namen
10914,10162473,house,499000,Namen
10915,10163169,apartment group,550000.0,Namen
10916,10161860,house,935000,Namen
10917,10162908,apartment group,992000.0,Namen
10918,10161789,house,720000,Namen
10919,10163054,house,1795000,Namen
10920,10161299,house,199000,Namen
10921,10161684,apartment group,282500.0,Namen
10922,10161668,apartment group,402500.0,Namen
10923,10146915,apartment,339000,Namen
10924,10161671,apartment group,300000.0,Namen
10925,10161665,house,359000,Namen
10926,10161680,house group,410000.0,Namen
10927,10161140,house,399000,Namen
10928,10161619,house,430000,Namen
10929,10160107,apartment,180000,Namen
10930,10160259,apartment,208000,Namen
10931,10161675,house group,493000.0,Namen
10932,10161530,apartment,465000,Namen
10933,10159979,apartment group,460000.0,Namen
10934,10160247,apartment group,310000.0,Namen
10935,10160328,apartment group,288000.0,Namen
10936,10160989,house group,279000.0,Namen
10938,10160911,house,289000,Brussel
10939,10160295,house,435000,Brussel
10940,10160155,house,345000,Brussel
10941,10160111,apartment,460000,Brussel
10942,10160701,house,465000,Brussel
10943,10139890,house,299000,Brussel
10944,10160433,house,499000,Brussel
10945,10160577,house,585000,Brussel
10946,10159845,house,520000,Brussel
10947,10159844,house,520000,Brussel
10948,10159843,house,520000,Brussel
10949,10156372,apartment,395000,Brussel
10950,10154468,apartment,780000,Brussel
10951,10154682,apartment,965000,Brussel
10952,10160243,apartment,230000,Brussel
10953,10158224,apartment,140000,Brussel
10954,10160246,apartment,320000,Brussel
10955,10160244,apartment,245000,Brussel
10956,10160242,apartment,390000,Brussel
10957,10157688,apartment group,290500.0,Brussel
10958,10157770,apartment,249000,Brussel
10959,10158640,house,269000,Brussel
10960,10152494,apartment group,457500.0,Brussel
10961,10158916,apartment,255000,Brussel
10962,10082019,apartment group,468750.0,Brussel
10963,10158925,apartment,295000,Brussel
10964,10157545,apartment,325000,Brussel
10965,10158478,apartment group,322750.0,Brussel
10966,10159398,apartment group,429750.0,Brussel
10967,10159481,apartment,329000,Brussel
10969,10158588,apartment group,365000.0,Brussel
10970,10157660,apartment,369000,Brussel
10971,10158422,apartment group,427125.0,Brussel
10972,10159386,house group,419000.0,Brussel
10973,10158413,apartment group,527625.0,Brussel
10974,10158500,apartment group,452500.0,Brussel
10975,10157528,apartment group,540000.0,Brussel
10976,10157565,apartment,595000,Brussel
10977,10158470,apartment group,447175.0,Brussel
10978,10157563,apartment,595000,Brussel
10979,10157831,apartment group,1700000.0,Brussel
10980,10157651,apartment group,836684.0,Brussel
10981,10158591,house group,755000.0,Brussel
10982,10163697,apartment,320000,Brussel
10983,10157787,apartment group,1700000.0,Brussel
10984,10164434,house,385000,Brussel
10985,10164218,house,350000,Brussel
10986,10163699,apartment,375000,Brussel
10987,10163700,apartment,380000,Brussel
10988,10164033,house,700000,Brussel
10989,10164487,apartment,249000,Brussel
10990,10165247,apartment,250000,Brussel
10991,10089743,apartment,265000,Brussel
10992,10164007,apartment,215000,Brussel
10993,10164028,house,749000,Brussel
10994,10164034,apartment,285000,Brussel
10995,10165662,apartment,289000,Brussel
10996,10164030,apartment,310000,Brussel
10997,10165248,apartment,345000,Brussel
10998,10164833,apartment,369000,Brussel
11000,10164647,apartment,489000,Antwerpen
11001,10164646,apartment,749000,Antwerpen
11002,10164645,apartment,699000,Antwerpen
11003,10155618,apartment,137500,Antwerpen
11004,10164648,apartment,489000,Antwerpen
11005,10156769,apartment,105000,Antwerpen
11006,10156202,apartment,169500,Antwerpen
11007,10154803,apartment,210000,Antwerpen
11008,10155188,apartment,210000,Antwerpen
11009,10155476,apartment,170000,Antwerpen
11010,10155629,apartment,235000,Antwerpen
11011,10155621,apartment,265000,Antwerpen
11012,10154653,apartment group,286000.0,Antwerpen
11013,10155045,apartment group,377637.5,Antwerpen
11014,10155504,house,215000,Antwerpen
11015,10155023,apartment group,411750.0,Antwerpen
11016,10156573,apartment group,290000.0,Antwerpen
11017,10154860,apartment group,442000.0,Antwerpen
11018,10154922,apartment group,582250.0,Antwerpen
11019,10156246,apartment group,289000.0,Antwerpen
11020,10154948,apartment group,350000.0,Antwerpen
11021,10155016,house group,407000.0,Antwerpen
11022,10154548,apartment,320000,Antwerpen
11023,10155131,apartment group,358750.0,Antwerpen
11024,10154735,apartment group,389000.0,Antwerpen
11025,10155633,apartment,319000,Antwerpen
11026,10155124,apartment group,358750.0,Antwerpen
11027,10154732,apartment,395000,Antwerpen
11028,10155094,house group,431500.0,Antwerpen
11029,10154990,apartment group,439500.0,Antwerpen
11031,10155591,apartment,550000,Limburg
11032,10154577,house group,672500.0,Limburg
11033,10155441,house,660000,Limburg
11034,10154984,house group,699500.0,Limburg
11035,10154878,apartment group,859556.5,Limburg
11036,10155081,apartment group,581500.0,Limburg
11037,10163547,house,395000,Limburg
11038,10162190,house,190000,Limburg
11039,10024351,house,199000,Limburg
11040,10161792,house,658500,Limburg
11041,10080676,house,549000,Limburg
11042,10163536,house,945000,Limburg
11043,10163242,house,970000,Limburg
11044,10163550,apartment,229990,Limburg
11045,10162246,apartment,250000,Limburg
11046,10162633,apartment,305000,Limburg
11047,10162604,apartment,335000,Limburg
11048,10162603,apartment,299000,Limburg
11049,10152126,apartment,189000,Limburg
11050,10152278,house,145000,Limburg
11051,10151895,house,235000,Limburg
11052,9963099,apartment,260000,Limburg
11053,10151936,apartment group,319500.0,Limburg
11054,10151404,apartment,275000,Limburg
11055,10151772,apartment group,263000.0,Limburg
11056,10153411,house group,289000.0,Limburg
11057,10152027,apartment,299000,Limburg
11058,10153924,apartment,310000,Limburg
11059,10153732,apartment,319000,Limburg
11060,10151412,apartment group,435000.0,Limburg
11062,10152020,apartment,375000,Oost-Vlaanderen
11063,10151981,house,379000,Oost-Vlaanderen
11064,10153006,house group,360000.0,Oost-Vlaanderen
11065,10151862,house group,460000.0,Oost-Vlaanderen
11066,10153840,house group,395000.0,Oost-Vlaanderen
11067,10151854,apartment group,392325.0,Oost-Vlaanderen
11068,10152367,apartment group,637500.0,Oost-Vlaanderen
11069,10152045,apartment,444000,Oost-Vlaanderen
11070,10153222,house group,463000.0,Oost-Vlaanderen
11071,10152380,apartment group,545000.0,Oost-Vlaanderen
11072,10151589,apartment,479000,Oost-Vlaanderen
11073,10153226,house group,485000.0,Oost-Vlaanderen
11074,10161587,house,599000,Oost-Vlaanderen
11075,10153854,apartment,490000,Oost-Vlaanderen
11076,10158270,house,450000,Oost-Vlaanderen
11077,10165307,house,215000,Oost-Vlaanderen
11078,10163933,apartment,159000,Oost-Vlaanderen
11079,10149128,house,159000,Oost-Vlaanderen
11080,10148942,apartment group,762500.0,Oost-Vlaanderen
11081,10149730,apartment group,337000.0,Oost-Vlaanderen
11082,10118253,apartment,395000,Oost-Vlaanderen
11083,10151182,apartment,209000,Oost-Vlaanderen
11084,10151203,apartment,235000,Oost-Vlaanderen
11085,10148922,apartment,275000,Oost-Vlaanderen
11086,10151217,apartment,245000,Oost-Vlaanderen
11087,10148703,house,239000,Oost-Vlaanderen
11088,10148729,apartment,349000,Oost-Vlaanderen
11089,10149386,apartment,415000,Oost-Vlaanderen
11090,10150449,apartment group,445000.0,Oost-Vlaanderen
11091,10149814,apartment group,425000.0,Oost-Vlaanderen
11093,10150676,apartment,520000,WaalsBrabant
11094,9955479,house,239000,WaalsBrabant
11095,10160134,house,450000,WaalsBrabant
11096,10150923,house,625000,WaalsBrabant
11097,10160268,house,335000,WaalsBrabant
11098,10150970,house,625000,WaalsBrabant
11099,10094760,house,475000,WaalsBrabant
11100,10086590,house,550000,WaalsBrabant
11101,10160090,house,545000,WaalsBrabant
11102,10160097,house,650000,WaalsBrabant
11103,10160112,house,735000,WaalsBrabant
11104,10160317,apartment,215000,WaalsBrabant
11105,10160095,apartment,220000,WaalsBrabant
11106,10160203,house,695000,WaalsBrabant
11107,10160366,apartment,275000,WaalsBrabant
11108,10159909,apartment,299500,WaalsBrabant
11109,10159930,apartment,245000,WaalsBrabant
11110,10160847,apartment,595000,WaalsBrabant
11111,10160848,apartment,595000,WaalsBrabant
11112,10163397,apartment,125000,WaalsBrabant
11113,10160932,apartment,3585000,WaalsBrabant
11114,10147556,apartment,79000,WaalsBrabant
11115,10147032,house,159000,WaalsBrabant
11116,10148322,apartment group,286000.0,WaalsBrabant
11117,10148143,apartment,235000,WaalsBrabant
11118,10147547,apartment group,324500.0,WaalsBrabant
11119,10147870,house group,329450.0,WaalsBrabant
11120,10070415,apartment,315000,WaalsBrabant
11121,10148104,apartment,265000,WaalsBrabant
11122,10147859,apartment,295000,WaalsBrabant
11124,10146903,house,345000,Antwerpen
11125,10147596,apartment,370000,Antwerpen
11126,10147424,apartment group,450000.0,Antwerpen
11127,10146909,apartment group,602500.0,Antwerpen
11128,10147935,apartment,550000,Antwerpen
11129,10147389,apartment,335000,Antwerpen
11130,10146862,house,895000,Antwerpen
11131,10147029,apartment,749500,Antwerpen
11132,10146939,house,750000,Antwerpen
11133,10147031,apartment,1495000,Antwerpen
11134,10147541,apartment group,945000.0,Antwerpen
11135,10158889,house,300000,Antwerpen
11136,10158111,house,495000,Antwerpen
11137,10159619,house,535000,Antwerpen
11138,10157174,house,452000,Antwerpen
11139,10159324,house,595000,Antwerpen
11140,10158745,house,349000,Antwerpen
11141,10159343,house,645000,Antwerpen
11142,10159340,house,645000,Antwerpen
11143,10158304,house,649000,Antwerpen
11144,10158359,house,750000,Antwerpen
11145,10157542,house,675000,Antwerpen
11146,10157561,house,1950000,Antwerpen
11147,10157751,house,770000,Antwerpen
11148,9919729,house,790000,Antwerpen
11149,10160245,apartment,365000,Antwerpen
11150,10157469,apartment,279000,Antwerpen
11151,10159220,apartment,209000,Antwerpen
11152,10165716,house,374000,Antwerpen
11153,10164821,house,359000,Antwerpen
11155,10164627,house,2890000,Oost-Vlaanderen
11156,10164692,house,435000,Oost-Vlaanderen
11157,10158639,apartment,424000,Oost-Vlaanderen
11158,10157959,apartment,385000,Oost-Vlaanderen
11159,10157564,apartment,375000,Oost-Vlaanderen
11160,10164685,house,435000,Oost-Vlaanderen
11161,10084941,apartment,220000,Oost-Vlaanderen
11162,10163696,apartment,370000,Oost-Vlaanderen
11163,10157726,apartment,2990000,Oost-Vlaanderen
