id,type,subtype,price,transactionType,kitchen_type,energy_heatingType,bedroom_count,land_surface,outdoor_terrace_exists,outdoor_garden_surface,wellnessEquipment_hasSwimmingPool,condition_isNewlyBuilt,location
10161140,house,house,399000,for sale,installed,gas,4,485,true,230,,,Halle-Vilvoorde
10160241,apartment,apartment,375000,for sale,hyper equipped,gas,2,,true,,,1,Halle-Vilvoorde
10161619,house,house,430000,for sale,installed,gas,3,179,,80,,,Halle-Vilvoorde
10146915,apartment,apartment,339000,for sale,hyper equipped,gas,2,,true,,,1,Halle-Vilvoorde
10077980,house group,house group,332000 - 378500,for sale,,,,,,,,1,Halle-Vilvoorde
9881253,apartment group,apartment group,195500 - 265500,for sale,,,,,,,,1,Halle-Vilvoorde
10160259,apartment,apartment,208000,for sale,usa installed,electric,2,,true,,,,Halle-Vilvoorde
10159979,apartment group,apartment group,225000 - 695000,for sale,,,,,,,,1,Halle-Vilvoorde
10160328,apartment group,apartment group,257000 - 319000,for sale,,,,,,,,1,Halle-Vilvoorde
10160247,apartment group,apartment group,230000 - 390000,for sale,,,,,,,,1,Halle-Vilvoorde
10160989,house group,house group,279000 - 279000,for sale,,,,,,,,1,Halle-Vilvoorde
10160701,house,villa,465000,for sale,installed,electric,4,1072,true,800,,,Halle-Vilvoorde
10160911,house,house,289000,for sale,installed,gas,3,197,true,60,,,Halle-Vilvoorde
10160433,house,house,499000,for sale,usa hyper equipped,gas,3,475,true,383,,,Halle-Vilvoorde
10160155,house,house,345000,for sale,hyper equipped,gas,5,705,true,500,,,Halle-Vilvoorde
10159845,house,house,520000,for sale,installed,gas,3,5062,,,,,Halle-Vilvoorde
10160295,house,bungalow,435000,for sale,semi equipped,gas,3,648,true,468,,,Halle-Vilvoorde
10159844,house,villa,520000,for sale,installed,gas,3,5062,,,,,Halle-Vilvoorde
10159843,house,villa,520000,for sale,installed,gas,3,5062,,,,,Halle-Vilvoorde
10156372,apartment,apartment,395000,for sale,usa hyper equipped,gas,3,,true,,,1,Halle-Vilvoorde
10154682,apartment,apartment,965000,for sale,usa hyper equipped,gas,3,,true,,,1,Halle-Vilvoorde
10154468,apartment,penthouse,780000,for sale,hyper equipped,gas,3,,true,,,1,Halle-Vilvoorde
10160577,house,house,585000,for sale,usa semi equipped,gas,2,634,true,400,,,Halle-Vilvoorde
10160244,apartment,apartment,245000,for sale,hyper equipped,,1,,true,,,1,Halle-Vilvoorde
10160243,apartment,apartment,230000,for sale,hyper equipped,,1,,true,,,1,Halle-Vilvoorde
10158224,apartment,duplex,140000,for sale,usa hyper equipped,gas,3,,true,,,,Halle-Vilvoorde
10157688,apartment group,apartment group,239000 - 342000,for sale,,,,,,,,1,Halle-Vilvoorde
10160246,apartment,apartment,320000,for sale,hyper equipped,,2,,true,,,1,Halle-Vilvoorde
10160242,apartment,apartment,390000,for sale,hyper equipped,,2,,true,,,1,Halle-Vilvoorde
10157770,apartment,apartment,249000,for sale,installed,gas,2,,true,,,,Halle-Vilvoorde
id,type,subtype,price,transactionType,kitchen_type,energy_heatingType,bedroom_count,land_surface,outdoor_terrace_exists,outdoor_garden_surface,wellnessEquipment_hasSwimmingPool,condition_isNewlyBuilt,location
10152494,apartment group,apartment group,280000 - 635000,for sale,,,,,,,,1,Luik
10158916,apartment,apartment,255000,for sale,hyper equipped,gas,1,,true,,,,Luik
10158640,house,house,269000,for sale,semi equipped,pellet,3,3418,,,,,Luik
10159398,apartment group,apartment group,294500 - 565000,for sale,,,,,,,,1,Luik
10139890,house,house,299000,for sale,installed,gas,3,170,,90,,,Luik
10157545,apartment,apartment,325000,for sale,hyper equipped,gas,2,,true,,,,Luik
10158478,apartment group,apartment group,322750 - 322750,for sale,,,,,,,,1,Luik
10158925,apartment,duplex,295000,for sale,hyper equipped,gas,2,,,,,,Luik
10158413,apartment group,apartment group,361800 - 693450,for sale,,,,,,,,1,Luik
10159481,apartment,apartment,329000,for sale,installed,fueloil,2,,true,,,,Luik
