id,type,subtype,price,transactionType,kitchen_type,energy_heatingType,bedroom_count,land_surface,outdoor_terrace_exists,outdoor_garden_surface,wellnessEquipment_hasSwimmingPool,condition_isNewlyBuilt,location
10162099,apartment,duplex,229000,for sale,installed,gas,3,,true,,,,Gent
10162792,apartment,apartment,245000,for sale,installed,gas,2,,true,,,,Gent
10161787,apartment,apartment,235000,for sale,installed,gas,2,,true,,,,Gent
10160241,apartment,apartment,375000,for sale,hyper equipped,gas,2,,true,,,1,Gent
10161760,apartment,apartment,195000,for sale,installed,electric,2,,,,,,Gent
9403497,apartment group,apartment group,214900 - 399900,for sale,,,,,,,,1,Gent
10162950,apartment,apartment,260000,for sale,hyper equipped,gas,2,,true,,,,Gent
10164463,apartment,apartment,330000,for sale,usa semi equipped,gas,2,,,,,,Gent
10163564,house,house,395000,for sale,installed,gas,3,189,true,131,,,Gent
10162086,house group,house group,279000 - 305000,for sale,,,,,,,,1,Gent
10161801,house group,house group,350528 - 412542,for sale,,,,,,,,1,Gent
10077980,house group,house group,332000 - 378500,for sale,,,,,,,,1,Gent
8967721,apartment,apartment,395000,for sale,installed,gas,4,,true,80000,,,Gent
10161789,house,house,720000,for sale,not installed,fueloil,5,176,true,45,,,Gent
10099769,house,house,410000,for sale,installed,fueloil,4,533,true,,,,Gent
10161791,house,house,185000,for sale,installed,gas,2,220,true,,,,Gent
10161299,house,house,199000,for sale,semi equipped,gas,3,260,,140,,,Gent
9881253,apartment group,apartment group,195500 - 265500,for sale,,,,,,,,1,Gent
10162478,house,house,270000,for sale,installed,pellet,3,268,true,,,,Gent
10161684,apartment group,apartment group,235000 - 330000,for sale,,,,,,,,1,Gent
10146915,apartment,apartment,339000,for sale,hyper equipped,gas,2,,true,,,1,Gent
10161668,apartment group,apartment group,270000 - 535000,for sale,,,,,,,,1,Gent
10161671,apartment group,apartment group,280000 - 320000,for sale,,,,,,,,1,Gent
10161140,house,house,399000,for sale,installed,gas,4,485,true,230,,,Gent
10161665,house,house,359000,for sale,hyper equipped,fueloil,4,1424,true,952,,,Gent
10161680,house group,house group,375000 - 445000,for sale,,,,,,,,1,Gent
10161619,house,house,430000,for sale,installed,gas,3,179,,80,,,Gent
10161530,apartment,apartment,465000,for sale,installed,gas,2,,,,,,Gent
10163169,apartment group,apartment group,425000 - 675000,for sale,,,,,,,,1,Gent
10161675,house group,house group,478000 - 508000,for sale,,,,,,,,1,Gent
