id,type,subtype,price,transactionType,kitchen_type,energy_heatingType,bedroom_count,land_surface,outdoor_terrace_exists,outdoor_garden_surface,wellnessEquipment_hasSwimmingPool,condition_isNewlyBuilt,location,region,province,EPC
10163960,apartment,apartment,180000,for sale,installed,gas,2,,true,,,,Aalst,['Vlaanderen'],['Oost-Vlaanderen'],[None]
10164023,apartment,apartment,210000,for sale,not installed,gas,2,,true,,,,Aalst,['Vlaanderen'],['Oost-Vlaanderen'],[None]
10093468,apartment,apartment,299000,for sale,installed,gas,2,,,,,,Aalst,['Vlaanderen'],['Oost-Vlaanderen'],[None]
10160241,apartment,apartment,375000,for sale,hyper equipped,gas,2,,true,,,1,Aalst,['Vlaanderen'],['Oost-Vlaanderen'],[None]
10164025,apartment,apartment,259000,for sale,installed,gas,2,,true,,,,Aalst,['Vlaanderen'],['Oost-Vlaanderen'],[None]
10164465,apartment group,apartment group,137500 - 160500,for sale,,,,,,,,1,Aalst,['Vlaanderen'],['Oost-Vlaanderen'],[None]
10163793,house group,house group,309000 - 353000,for sale,,,,,,,,1,Aalst,['Vlaanderen'],['Oost-Vlaanderen'],[None]
10164027,apartment,duplex,349000,for sale,usa hyper equipped,gas,2,,true,,,,Aalst,['Vlaanderen'],['Oost-Vlaanderen'],[None]
10164463,apartment,apartment,330000,for sale,usa semi equipped,gas,2,,,,,,Aalst,['Vlaanderen'],['Oost-Vlaanderen'],[None]
10164117,house,house,349000,for sale,semi equipped,fueloil,4,1500,true,1200,,,Aalst,['Vlaanderen'],['Oost-Vlaanderen'],[None]
10164026,apartment,apartment,430000,for sale,hyper equipped,gas,3,,true,,,,Aalst,['Vlaanderen'],['Oost-Vlaanderen'],[None]
10164048,apartment group,apartment group,475000 - 475000,for sale,,,,,,,,1,Aalst,['Vlaanderen'],['Oost-Vlaanderen'],[None]
10077980,house group,house group,332000 - 378500,for sale,,,,,,,,1,Aalst,['Vlaanderen'],['Oost-Vlaanderen'],[None]
10164029,house,house,475000,for sale,not installed,gas,3,270,true,150,,,Aalst,['Vlaanderen'],['Oost-Vlaanderen'],[None]
10164082,house,mixed use building,599000,for sale,usa hyper equipped,gas,3,560,true,325,,,Aalst,['Vlaanderen'],['Oost-Vlaanderen'],[None]
10164672,apartment group,apartment group,489000 - 849000,for sale,,,,,,,,1,Aalst,['Vlaanderen'],['Oost-Vlaanderen'],[None]
10165424,apartment,penthouse,849000,for sale,hyper equipped,gas,3,,true,,,,Aalst,['Vlaanderen'],['Oost-Vlaanderen'],[None]
10163967,house group,house group,670000 - 675000,for sale,,,,,,,,1,Aalst,['Vlaanderen'],['Oost-Vlaanderen'],[None]
