,classified_id,classified_type,classified_subtype,classified_price,classified_transactionType,classified_zip,classified_visualisationOption,classified_kitchen_type,classified_building_constructionYear,classified_building_condition,classified_energy_heatingType,classified_certificates_primaryEnergyConsumptionLevel,classified_bedroom_count,classified_land_surface,classified_atticExists,classified_basementExists,classified_outdoor_garden_surface,classified_outdoor_terrace_exists,classified_specificities_SME_office_exists,classified_wellnessEquipment_hasSwimmingPool,classified_parking_parkingSpaceCount_indoor,classified_parking_parkingSpaceCount_outdoor,classified_condition_isNewlyBuilt,new_price,classified_region,bedroom_count
0,10146915,apartment,apartment,339000,forsale,9890,xl,hyperequipped,2021.0,justrenovated,gas,1.0,2.0,,,,,True,,,,,1.0,0,Oost Vlaanderen,2
1,10156372,apartment,apartment,395000,forsale,1140,xl,hyperequipped,2022.0,justrenovated,gas,54.0,3.0,,,True,,True,,,1.0,,1.0,0,Brussels,3
2,10154682,apartment,apartment,965000,forsale,1150,xl,hyperequipped,2021.0,justrenovated,gas,55.0,3.0,,,,,True,,,1.0,,1.0,0,Brussels,3
3,10157770,apartment,apartment,249000,forsale,1800,xl,installed,2010.0,good,gas,88.0,2.0,,,True,,True,,,1.0,,,0,Vlaams Brabant,2
4,10157545,apartment,apartment,325000,forsale,8380,xl,hyperequipped,1967.0,justrenovated,gas,99.0,2.0,,,,,True,,,,,,0,West Vlaanderen,2
5,10157660,apartment,duplex,369000,forsale,9000,xl,hyperequipped,2007.0,good,gas,127.0,2.0,,True,,,True,,,,,,0,Oost Vlaanderen,2
6,10157528,apartment,apartmentgroup,435000,forsale,1050,xl,semiequipped,,good,,113.0,,,,,,,,,,,1.0,0,Brussels,Not_Specified
7,10157565,apartment,penthouse,595000,forsale,1040,xl,hyperequipped,1964.0,torenovate,gas,453.0,4.0,,,True,,True,True,,,,,0,Brussels,4
8,10157563,apartment,duplex,595000,forsale,1040,xl,hyperequipped,1964.0,torenovate,gas,453.0,4.0,,,True,,True,True,,,,,0,Brussels,4
9,10157831,apartment,apartmentgroup,1700000,forsale,1050,xl,semiequipped,,good,,65.0,,,,,,,,,1.0,1.0,1.0,0,Brussels,Not_Specified
10,10157787,apartment,apartmentgroup,1700000,forsale,1060,xl,semiequipped,,good,,65.0,,,,,,,,,1.0,1.0,1.0,0,Brussels,Not_Specified
11,10156769,apartment,apartment,105000,forsale,7500,xl,semiequipped,1971.0,torenovate,gas,291.0,2.0,,,,,True,,,,,,0,Hainaut,2
12,10155618,apartment,apartment,137500,forsale,1030,xl,installed,2004.0,good,electric,527.0,1.0,,,,,True,,,,,,0,Brussels,1
13,10156202,apartment,apartment,169500,forsale,4520,xl,semiequipped,1969.0,good,gas,244.0,2.0,,,True,,True,,,1.0,,,0,Liege,2
14,10155476,apartment,apartment,170000,forsale,4500,xl,installed,2000.0,good,gas,188.0,2.0,,,True,,,,,,,,0,Liege,2
15,9881253,apartment,apartmentgroup,195500,forsale,1000,xl,semiequipped,,good,,,,,,,,,,,,,1.0,0,Brussels,Not_Specified
16,10155629,apartment,apartment,235000,forsale,1000,xl,hyperequipped,2009.0,good,electric,220.0,1.0,,,True,,True,,,1.0,,,0,Brussels,1
17,10156573,apartment,apartmentgroup,255000,forsale,8434,xl,semiequipped,,good,,,,,,,,,,,,,1.0,0,West Vlaanderen,Not_Specified
18,10155621,apartment,apartment,265000,forsale,1000,xl,hyperequipped,2014.0,good,electric,229.0,2.0,,,,,True,,,,,,0,Brussels,2
19,10156246,apartment,apartmentgroup,279000,forsale,2260,xl,semiequipped,,good,,,,,,,,,,,,,1.0,0,Antwerp,Not_Specified
20,10155633,apartment,apartment,319000,forsale,1160,xl,hyperequipped,2001.0,good,electric,232.0,2.0,,,,,True,,,,,,0,Brussels,2
21,10154548,apartment,apartment,320000,forsale,4000,xl,installed,1918.0,justrenovated,gas,126.0,2.0,,,True,,True,,,,,,0,Liege,2
22,10154735,apartment,apartmentgroup,359000,forsale,8700,xl,semiequipped,,good,,,,,,,,,,,6.0,6.0,1.0,0,West Vlaanderen,Not_Specified
23,10154732,apartment,apartment,395000,forsale,9000,xl,installed,2002.0,good,gas,92.0,2.0,,,True,,True,,,,1.0,,0,Oost Vlaanderen,2
24,10092917,apartment,apartmentgroup,430500,forsale,1000,xl,semiequipped,,good,,,,,,,,,,,,,1.0,0,Brussels,Not_Specified
25,10154635,apartment,apartmentgroup,489000,forsale,1050,xl,semiequipped,,good,,224.0,,,,,,,,,1.0,1.0,1.0,0,Brussels,Not_Specified
26,10156559,apartment,apartmentgroup,495000,forsale,1140,xl,semiequipped,,good,,70.0,,,,,,,,,,,1.0,0,Brussels,Not_Specified
27,10152126,apartment,apartment,189000,forsale,9100,xl,hyperequipped,2019.0,justrenovated,gas,113.0,1.0,,,True,,True,,,1.0,,,0,Oost Vlaanderen,1
28,10151772,apartment,apartmentgroup,263000,forsale,1490,xl,semiequipped,,good,,,,,,,,,,,,70.0,1.0,0,Brabant Wallonia,Not_Specified
29,10152027,apartment,duplex,299000,forsale,1760,xl,hyperequipped,2003.0,justrenovated,gas,167.0,3.0,,,,,True,,,,,,0,Vlaams Brabant,3
30,10158182,house,house,240000,forsale,5300,l,installed,,justrenovated,fueloil,299.0,2.0,300.0,True,True,,True,True,,1.0,2.0,,0,Namur,2
31,9625357,house,house,131000,forsale,2550,xl,notinstalled,1930.0,good,gas,371.0,3.0,1664.0,,True,1100.0,True,,,1.0,,,0,Antwerp,3
32,10158172,apartment,apartment,260000,forsale,8870,m,installed,2020.0,good,gas,47.0,2.0,,,,,True,,,,,,0,West Vlaanderen,2
33,10158154,house,house,290000,forsale,7900,m,installed,2021.0,good,gas,,3.0,515.0,True,,,,,,,2.0,1.0,0,Hainaut,3
34,10158153,house,bungalow,445000,forsale,1410,xl,hyperequipped,1973.0,good,electric,555.0,2.0,681.0,True,,500.0,True,,,2.0,3.0,,0,Brabant Wallonia,2
35,10158149,apartment,flatstudio,59000,forsale,4000,xl,notinstalled,,torenovate,,251.0,1.0,,,,,,,,,,,0,Liege,1
36,9641565,house,house,184000,forsale,2550,xl,semiequipped,,good,gas,,5.0,155.0,,True,,True,,,,1.0,,0,Antwerp,5
37,10121293,house,house,275000,forsale,1420,xl,semiequipped,,torenovate,fueloil,515.0,2.0,207.0,,,100.0,,True,,,,,0,Brabant Wallonia,2
38,10153924,apartment,apartment,310000,forsale,9040,xl,hyperequipped,2010.0,good,gas,120.0,2.0,,,True,,True,,,1.0,,,0,Oost Vlaanderen,2
39,10153732,apartment,apartment,319000,forsale,1060,xl,installed,1965.0,good,gas,219.0,1.0,,,True,,,,,,,,0,Brussels,1
40,10151854,apartment,apartmentgroup,333400,forsale,9070,xl,semiequipped,,good,,,,,,,,,,,1.0,8.0,1.0,0,Oost Vlaanderen,Not_Specified
41,10152020,apartment,apartment,375000,forsale,1200,xl,hyperequipped,1968.0,good,gas,328.0,2.0,,,,,,True,,,,,0,Brussels,2
42,10152367,apartment,apartmentgroup,390000,forsale,1325,xl,semiequipped,,good,,,,,,,,,,,,,1.0,0,Brabant Wallonia,Not_Specified
43,10152380,apartment,apartmentgroup,415000,forsale,1325,xl,semiequipped,,good,,,,,,,,,,,,,1.0,0,Brabant Wallonia,Not_Specified
44,10151589,apartment,apartment,479000,forsale,1020,xl,hyperequipped,1958.0,justrenovated,gas,257.0,3.0,,,True,350.0,True,,,1.0,1.0,,0,Brussels,3
45,10153854,apartment,apartment,490000,forsale,9070,xl,installed,1993.0,good,gas,166.0,2.0,,,,,,,,1.0,,,0,Oost Vlaanderen,2
46,10148942,apartment,apartmentgroup,150000,forsale,1180,xl,semiequipped,,good,,55.0,,,,,,,,,,36.0,1.0,0,Brussels,Not_Specified
47,10149730,apartment,apartmentgroup,179000,forsale,8380,xl,semiequipped,,good,,,,,,,,,,,,,1.0,0,West Vlaanderen,Not_Specified
48,10151182,apartment,apartment,209000,forsale,2830,xl,installed,2001.0,good,gas,239.0,2.0,,,,,True,,,1.0,,,0,Antwerp,2
49,10151217,apartment,apartment,245000,forsale,2610,xl,installed,1970.0,good,gas,329.0,3.0,,,True,,True,,,1.0,2.0,,0,Antwerp,3
50,10148922,apartment,apartment,275000,forsale,1020,xl,hyperequipped,1966.0,justrenovated,gas,514.0,3.0,,,,,True,,,,,,0,Brussels,3
51,10149814,apartment,apartmentgroup,395000,forsale,8420,xl,semiequipped,,good,,,,,,,,,,,,,1.0,0,West Vlaanderen,Not_Specified
52,10150676,apartment,apartment,520000,forsale,1070,xl,installed,1900.0,good,gas,105.0,3.0,,,,,True,,,,,,0,Brussels,3
