ID,Type,Sub type,Price,NetHabitableSurface(msq),BedroomCount,Province,locality,Region,PostCode,street,Floor,RegionCode,IsIsolated,HasSeaView,SchoolDistance,ShopDistance,TransportDistance,NetHabitableSurface,TotalRoomCount,HasAttic,HasBasement,HasDiningRoom,BuildingCondition,ConstructionYear,FacadeCount,HasLift,FloodZoneType,HeatingType,IsDoubleGlaze,HasBalcony,HasGarden,GardenArea,KitchekType,LivingRoomArea
10128188,HOUSE,HOUSE,328330,148.0,3,Limburg,Zonhoven,Flanders,3520,Sparrenweg,,FLANDERS,,,0.0,0.0,0.0,148,,,,,,,3,,,,True,,True,347,,
10128189,HOUSE,HOUSE,328330,148.0,3,Limburg,Zonhoven,Flanders,3520,Ruddelstraat,,FLANDERS,,,0.0,0.0,0.0,148,,,,,,,3,,,,True,,True,347,,
10128190,HOUSE,HOUSE,327829,148.0,3,Limburg,Zonhoven,Flanders,3520,Ruddelstraat,,FLANDERS,,,0.0,0.0,0.0,148,,,,,,,3,,,,True,,True,346,,
10128191,HOUSE,HOUSE,327829,148.0,3,Limburg,Zonhoven,Flanders,3520,Ruddelstraat,,FLANDERS,,,0.0,0.0,0.0,148,,,,,,,3,,,,True,,True,346,,
10128192,HOUSE,HOUSE,378242,148.0,3,Limburg,Zonhoven,Flanders,3520,Ruddelstraat,,FLANDERS,,,0.0,0.0,0.0,148,,,,,,,4,,,,True,,True,589,,
10128193,HOUSE,HOUSE,1295000,650.0,5,Antwerp,Berlaar,Flanders,2590,Markt,,FLANDERS,URBAN,,0.0,0.0,0.0,650,6,True,True,,GOOD,,3,,NON_FLOOD_ZONE,GAS,True,,,,INSTALLED,
10128195,HOUSE,HOUSE,442000,221.0,4,Antwerp,Merksplas,Flanders,2330,Blazoenstraat,,FLANDERS,,,0.0,0.0,0.0,221,,True,True,,,1989,4,,,ELECTRIC,,,,,,
10128196,HOUSE,MIXED_USE_BUILDING,590000,1100.0,3,Liège,Liege,Wallonie,4020,Rue Fond du Bois,,WALLONIE,URBAN,,0.0,200.0,0.0,1100,,,True,,GOOD,1932,3,,,GAS,True,,,,HYPER_EQUIPPED,18
10128197,APARTMENT,APARTMENT,249000,145.0,2,Liège,Flemalle,Wallonie,4400,Grand'Route,,WALLONIE,URBAN,,400.0,50.0,0.0,145,,,True,,,2022,3,True,,,True,,,,,
10128198,APARTMENT,PENTHOUSE,249000,135.0,2,Liège,Flemalle,Wallonie,4400,Grand'Route,4,WALLONIE,URBAN,,400.0,50.0,0.0,135,,,True,,,2022,3,True,,,True,,,,,
10128203,HOUSE,HOUSE,315000,156.0,4,Limburg,Dilsen-Stokkem,Flanders,3650,,,FLANDERS,,,,,,156,,,,,,1966,4,,NON_FLOOD_ZONE,GAS,,,,,,
10128205,APARTMENT,FLAT_STUDIO,220000,58.0,,Brussels,Anderlecht,Brussels,1070,Digue du Canal,2,BRUSSELS,URBAN,,0.0,0.0,0.0,58,,,True,,AS_NEW,2020,,True,,GAS,True,,,,USA_HYPER_EQUIPPED,
10128207,APARTMENT,APARTMENT,350000,65.0,1,Brussels,Bruxelles,Brussels,1000,Avenue de la Forêt,1,BRUSSELS,,,0.0,0.0,0.0,65,,,,,AS_NEW,2013,2,True,,GAS,True,,,,USA_HYPER_EQUIPPED,
10128208,HOUSE,HOUSE,143000,85.0,2,East Flanders,Brakel,Flanders,9660,Vijfdagwandweg,,FLANDERS,URBAN,,500.0,800.0,0.0,85,,True,True,,GOOD,,2,,POSSIBLE_FLOOD_ZONE,GAS,True,,,,INSTALLED,
10128209,HOUSE,HOUSE,59000,69.0,2,Namur,Andenne,Wallonie,5300,,,WALLONIE,,,,,,69,,,,,TO_RENOVATE,1850,2,,,,,,,,NOT_INSTALLED,
10128211,APARTMENT,APARTMENT,390000,165.0,3,Antwerp,Antwerp,Flanders,2018,Lange Herentalsestraat,4,FLANDERS,URBAN,,0.0,0.0,0.0,165,,,,,TO_BE_DONE_UP,,2,True,NON_FLOOD_ZONE,FUELOIL,True,,,,HYPER_EQUIPPED,
10128212,APARTMENT,APARTMENT,132500,69.0,2,,alhama de murcia,,30840,,,,,,,,,69,,,,,AS_NEW,2023,3,,,,,,,,,
10128213,APARTMENT,APARTMENT,229000,60.0,2,,pilar de la horadada,,03190,,,,,,,,,60,,,,,,2023,2,,,,,,,,,
10128216,HOUSE,CHALET,215900,68.0,2,,pilar de la horadada,,03190,,,,,,,,,68,,,,,,2023,4,,,,,,,,,
10128218,HOUSE,CHALET,329900,117.0,3,,pilar de la horadada,,03190,,,,,,,,,117,,,,,,2023,4,,,,,,,,,
